"REF_DATE","GEO","DGUID","Statistics (3)","Gender (3)","Age (15A)","Highest certificate, diploma or degree (16)","Labour force status (8)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.1.1.1","14861245","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.1.2.1","2534175","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.1.3.1","4022790","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.1.4.1","8304275","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.1.5.1","4623985","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.1.6.1","1811505","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.1.7.1","827980","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.1.8.1","983525","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.1.9.1","2439925","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.1.10.1","372560","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.1.11.1","3680290","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.1.12.1","2339045","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.1.13.1","243200","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.1.14.1","108000","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.1.15.1","824250","","","","0"
"2021","Canada","2021A000011124","Count","Men+","Total - Age","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.1.16.1","165795","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.2.1.1","2161145","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.2.2.1","741340","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.2.3.1","920765","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.2.4.1","499040","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.2.5.1","332690","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.2.6.1","91355","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.2.7.1","50770","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.2.8.1","40580","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.2.9.1","213105","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.2.10.1","28230","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.2.11.1","166350","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.2.12.1","148565","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.2.13.1","7995","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.2.14.1","850","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.2.15.1","8750","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 24 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.2.16.1","195","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.3.1.1","1036235","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.3.2.1","637345","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.3.3.1","363920","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.3.4.1","34970","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.3.5.1","33665","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.3.6.1","13080","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.3.7.1","7885","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.3.8.1","5195","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.3.9.1","18795","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.3.10.1","1790","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.3.11.1","1305","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.3.12.1","1165","","","","0"
"2021","Canada","2021A000011124","Count","Men+","15 to 19 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.3.13.1","145","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.4.1.1","1124910","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.4.2.1","103995","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.4.3.1","556845","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.4.4.1","464065","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.4.5.1","299025","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.4.6.1","78280","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Non-apprenticeship trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.4.7.1","42890","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Apprenticeship certificate","Total - Labour force status","","0","units","0","","1.1.2.4.8.1","35390","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","College, CEGEP or other non-university certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.4.9.1","194310","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","University certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.4.10.1","26440","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Bachelor’s degree or higher","Total - Labour force status","","0","units","0","","1.1.2.4.11.1","165040","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Bachelor's degree","Total - Labour force status","","0","units","0","","1.1.2.4.12.1","147400","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","University certificate or diploma above bachelor level","Total - Labour force status","","0","units","0","","1.1.2.4.13.1","7845","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Degree in medicine, dentistry, veterinary medicine or optometry","Total - Labour force status","","0","units","0","","1.1.2.4.14.1","850","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Master's degree","Total - Labour force status","","0","units","0","","1.1.2.4.15.1","8750","","","","0"
"2021","Canada","2021A000011124","Count","Men+","20 to 24 years","Earned doctorate","Total - Labour force status","","0","units","0","","1.1.2.4.16.1","195","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Total - Highest certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.5.1.1","9620340","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","No certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.5.2.1","1094855","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","High (secondary) school diploma or equivalency certificate","Total - Labour force status","","0","units","0","","1.1.2.5.3.1","2349540","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Postsecondary certificate, diploma or degree","Total - Labour force status","","0","units","0","","1.1.2.5.4.1","6175940","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Postsecondary certificate or diploma below bachelor level","Total - Labour force status","","0","units","0","","1.1.2.5.5.1","3338220","","","","0"
"2021","Canada","2021A000011124","Count","Men+","25 to 64 years","Apprenticeship or trades certificate or diploma","Total - Labour force status","","0","units","0","","1.1.2.5.6.1","1280250","","","","0"
